System,Planet,Region,xcoord,ycoord,wiki
,Xa Fel,Core,-92.698,33.046,http://starwars.wikia.com/wiki/Xa_Fel
Orus,Chazwa,Inner Rim,199.857,106.001,http://starwars.wikia.com/wiki/Chazwa
Truum,Azure,Mid Rim,448.837,172.768,http://starwars.wikia.com/wiki/Azure
,Lwhekk,Unknown Regions,-815.269,-634.739,http://starwars.wikia.com/wiki/Lwhekk
Halla,Xoman,Mid Rim,701.869,63.523,http://starwars.wikia.com/wiki/Xoman
,Prakith,Deep Core,-44.579,-88.82,http://starwars.wikia.com/wiki/Prakith
,Keeara Major,Deep Core,-7.337,-58.352,http://starwars.wikia.com/wiki/Keeara_Major
,Symbia,Deep Core,-10.185,-51.878,http://starwars.wikia.com/wiki/Symbia
,Kuar,Deep Core,-1.898,-45.231,http://starwars.wikia.com/wiki/Kuar
,Odik,Deep Core,-76.85,-109.79,http://starwars.wikia.com/wiki/Odik
,Byss,Deep Core,-48.074,-182.068,http://starwars.wikia.com/wiki/Byss
,Kalist,Deep Core,-13.642,-202.323,http://starwars.wikia.com/wiki/Kalist_VI
,Zamael,Deep Core,-13.411,-213.257,http://starwars.wikia.com/wiki/Zamael
,Lialic,Deep Core,-16.634,-226.839,http://starwars.wikia.com/wiki/Lialic
,Constancia,Deep Core,-14.059,-242.179,http://starwars.wikia.com/wiki/Constancia
,Dulvoyinn,Deep Core,-3.441,-246.927,http://starwars.wikia.com/wiki/Dulvoyinn
,Tython,Deep Core,1.279,-78.258,http://starwars.wikia.com/wiki/Tython
,Had Abbadon,Deep Core,74.369,-78.834,http://starwars.wikia.com/wiki/Had_Abbadon
,Cambria,Deep Core,93.111,-58.448,http://starwars.wikia.com/wiki/Cambria
,Vulpter,Deep Core,58.406,-49.045,http://starwars.wikia.com/wiki/Vulpter
,Besero,Deep Core,49.601,-38.168,http://starwars.wikia.com/wiki/Besero
,Primus Goluud,Deep Core,36.48,-36.096,http://starwars.wikia.com/wiki/Primus_Goluud
,Empress Teta,Deep Core,1.987,-52.137,http://starwars.wikia.com/wiki/Empress_Teta
Baxel,Iope,Outer Rim,943.08,-225.899,http://starwars.wikia.com/wiki/Iope
,Starswarm Cluster,Deep Core,9.756,-39.965,http://starwars.wikia.com/wiki/Starswarm_Cluster
,Jerrilek,Deep Core,1.946,-24.051,http://starwars.wikia.com/wiki/Jerrilek
,Tsoss Beacon,Deep Core,11.408,-105.307,http://starwars.wikia.com/wiki/Tsoss_Beacon
,Eclipse,Deep Core,99.245,-176.94,http://starwars.wikia.com/wiki/Eclipse
,Crystan,Deep Core,13.406,-246.885,http://starwars.wikia.com/wiki/Crystan
,Khomm,Deep Core,12.507,-255.138,http://starwars.wikia.com/wiki/Khomm
,Dremulae,Deep Core,101.765,-73.526,http://starwars.wikia.com/wiki/Dremulae
,Ojom,Deep Core,107.856,-163.279,http://starwars.wikia.com/wiki/Ojom
,Ottabesk,Deep Core,112.906,-159.264,http://starwars.wikia.com/wiki/Ottabesk
,Hakassi,Deep Core,113.302,-152.812,http://starwars.wikia.com/wiki/Hakassi
,Ebaq,Deep Core,106.137,-143.229,http://starwars.wikia.com/wiki/Ebaq
,Thoadeye,Deep Core,118.939,-112.328,http://starwars.wikia.com/wiki/Thoadeye
,Galactic Center,Deep Core,0,-142.091,http://starwars.wikia.com/wiki/Galactic_Center
,Kokash,Core,-110.308,-65.502,http://starwars.wikia.com/wiki/Kokash
,Pollillus,Core,-101.33,-63.89,http://starwars.wikia.com/wiki/Pollillus
,Osssorck Nebulae,Core,-101.59,-266.91,http://starwars.wikia.com/wiki/Osssorck_Nebulae
,Questal,Core,-117.741,-273.815,http://starwars.wikia.com/wiki/Questal
,Kitel Phard,Core,-132.66,-286.761,http://starwars.wikia.com/wiki/Kitel_Phard
,Inysh,Core,-118.605,-295.761,http://starwars.wikia.com/wiki/Inysh
,Dahrtag,Core,-105.612,-314.795,http://starwars.wikia.com/wiki/Dahrtag
,Metellos,Core,-13.508,1.228,http://starwars.wikia.com/wiki/Metellos
,Ragoon,Core,-81.735,16.126,http://starwars.wikia.com/wiki/Ragoon
,Merakai,Core,-61.722,51.288,http://starwars.wikia.com/wiki/Merakai
,Denevar,Core,-48.611,52.89,http://starwars.wikia.com/wiki/Denevar
